"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdp" "tup" "tutd" "tutu"
"1089" NA NA 1 NA 1 21 NA NA 0 0
"1090" NA NA 2 1 1 51 NA NA 0 0
"1091" NA NA NA NA NA 39 NA NA 0 0
"1092" NA NA 1 NA NA 21 NA NA 0 0
"1093" NA NA NA NA 1 42 NA NA 0 0
"1094" NA NA NA 1 1 36 NA NA 0 0
"1095" NA NA NA 2 1 26 NA NA 0 0
"1096" NA NA NA NA NA 40 1 NA 0 0
"1097" NA NA NA 1 NA 26 NA NA 0 0
"1098" NA NA NA 1 1 37 NA NA 0 0
"1099" NA NA NA NA NA 26 NA 1 0 0
"1100" NA NA 1 NA NA 36 NA NA 0 0
"1101" NA NA NA NA NA 45 1 1 0 0
"1102" NA NA NA NA NA 50 NA NA 0 0
"1103" NA NA NA NA NA 31 NA NA 0 0
"1104" NA NA NA 1 NA 31 NA NA 0 0
"1105" NA NA NA NA NA 32 NA NA 0 0
"1106" NA NA 1 1 1 36 NA NA 0 0
"1107" NA NA 1 NA NA 27 NA NA 0 0
"1108" NA NA NA 1 NA 39 NA NA 0 0
"1109" NA NA 5 NA NA 34 NA NA 0 0
"1110" NA NA NA 1 1 32 NA NA 0 0
"1111" NA NA NA NA NA 34 NA NA 0 0
"1112" NA NA NA 2 NA 39 NA NA 0 0
"1113" NA NA NA NA 1 45 NA NA 0 0
"1114" NA NA NA NA NA 51 NA NA 0 0
"1115" NA 1 NA NA NA 46 NA NA 0 0
"1116" NA NA 1 NA 1 40 NA NA 0 0
"1117" NA NA NA NA NA 44 1 NA 0 0
"1118" NA NA NA NA 1 37 NA NA 0 0
"1119" NA NA NA NA NA 35 NA NA 0 0
"1120" NA NA 1 1 1 34 NA NA 0 0
"1121" NA NA NA NA 1 44 NA NA 0 0
"1122" NA NA NA 1 NA 34 NA NA 0 0
"1123" NA NA NA NA NA 30 NA NA 0 0
"1124" NA NA NA 1 NA 31 NA NA 0 0
"1125" NA NA 1 2 2 34 NA NA 0 0
"1126" NA NA NA NA NA 26 NA NA 0 0
"1127" NA NA NA NA NA 29 NA NA 0 0
"1128" NA NA NA NA NA 41 NA NA 0 0
"1129" 1 NA NA 1 NA 32 NA NA 0 0
"1130" NA NA 1 NA 2 41 NA NA 0 0
"1131" NA NA NA NA 1 38 NA NA 0 0
"1132" NA NA 1 NA NA 37 NA NA 0 0
"1133" NA NA NA NA 1 30 NA NA 0 0
"1134" NA NA NA NA NA 33 NA NA 0 0
"1135" NA NA NA NA NA 45 NA NA 0 0
"1136" NA NA NA NA NA 28 NA NA 0 0
"1137" NA 1 2 NA NA 28 NA 1 0 0
"1138" NA NA 2 NA 1 29 NA NA 0 0
"1139" NA NA 1 NA NA 45 NA NA 0 0
"1140" NA NA NA NA NA 29 NA NA 0 0
"1141" NA NA NA NA NA 26 NA NA 0 0
"1142" NA NA 1 NA 1 31 NA NA 0 0
"1143" NA NA NA NA 1 32 NA NA 0 0
"1144" NA NA NA NA NA 48 1 NA 0 0
"1145" NA NA NA NA NA 40 NA NA 0 0
"1146" NA NA 2 NA 1 38 NA NA 0 0
"1147" NA NA NA 1 NA 32 NA NA 0 0
"1148" NA NA NA 1 NA 34 1 NA 0 0
"1149" NA NA NA 1 NA 36 NA NA 0 0
"1150" NA NA NA NA NA 38 NA NA 0 0
"1151" NA NA NA 1 1 32 NA NA 0 0
"1152" NA NA NA NA NA 33 NA NA 0 0
"1153" NA NA 1 1 1 44 NA NA 0 0
"1154" NA NA 1 NA NA 29 NA NA 0 0
"1155" NA NA 1 NA NA 38 NA NA 0 0
"1156" NA NA 1 NA NA 45 NA NA 0 0
"1157" NA NA NA NA NA 31 NA NA 0 0
"1158" NA NA 1 NA NA 24 NA NA 0 0
"1159" NA NA 2 NA 1 33 NA NA 0 0
"1160" NA NA NA 1 1 25 1 NA 0 0
"1161" NA NA 1 1 NA 21 NA NA 0 0
"1162" NA NA 1 NA NA 22 NA NA 0 0
"1163" 1 NA 1 4 NA 44 NA NA 0 0
"1164" NA NA NA 1 2 34 NA NA 0 0
"1165" NA NA NA 3 NA 34 NA NA 0 0
"1166" NA NA NA 1 1 41 NA NA 0 0
"1167" NA NA 1 NA NA 27 NA NA 0 0
"1168" NA NA NA NA 1 38 NA NA 0 0
"1169" NA NA NA NA 1 32 NA NA 0 0
"1170" NA NA NA NA 1 20 NA NA 0 0
"1171" NA NA NA NA NA 32 NA NA 0 0
"1172" NA NA 1 NA 3 43 NA NA 0 0
"1173" NA NA 2 1 NA 26 NA NA 0 0
"1174" NA NA NA NA 1 27 1 NA 0 0
"1175" NA NA NA NA 1 44 NA NA 0 0
"1176" NA NA NA NA NA 40 NA NA 0 0
"1177" NA NA NA 1 NA 30 NA NA 0 0
"1178" NA NA NA NA NA 33 NA NA 0 0
"1179" NA 1 NA NA NA 27 1 NA 0 0
"1180" NA NA NA 1 1 30 NA NA 0 0
"1181" NA NA NA NA NA 34 NA NA 0 0
"1182" NA NA NA NA NA 39 NA NA 0 0
"1183" NA NA NA NA 1 28 NA NA 0 0
"1184" NA NA 3 NA 2 33 NA NA 0 0
"1185" NA NA 1 NA 3 31 NA NA 0 0
"1186" NA NA 1 1 1 51 NA NA 0 0
"1187" NA NA NA NA NA 34 NA 1 0 0
"1188" NA NA NA 2 NA 39 NA NA 0 0
"1189" NA NA 1 NA NA 23 NA NA 0 0
"1190" NA NA NA NA NA 33 NA NA 0 0
"1191" NA NA NA NA NA 33 NA NA 0 0
"1192" NA NA 1 1 NA 45 NA NA 0 0
"1193" NA NA NA NA 1 44 NA NA 0 0
"1194" NA NA NA NA NA 29 NA NA 0 0
"1195" NA NA NA NA 1 21 NA NA 0 0
"1196" NA NA 1 1 1 33 NA NA 0 0
"1197" NA NA NA NA NA 47 NA NA 0 0
"1198" NA NA 1 2 NA 31 NA NA 0 0
"1199" NA NA NA NA 1 27 NA NA 0 0
"1200" 1 NA NA NA NA 38 NA NA 0 0
"1201" NA 1 2 NA NA 43 NA NA 0 0
"1202" NA NA 1 NA 1 27 NA NA 0 0
"1203" NA NA NA NA NA 25 NA NA 0 0
"1204" NA NA NA 2 1 56 NA NA 0 0
"1205" NA NA 1 NA 1 45 NA NA 0 0
"1206" NA NA NA NA NA 22 NA NA 0 0
"1207" NA NA 4 NA 3 33 NA NA 0 0
"1208" 1 NA 1 NA NA 31 1 NA 0 0
"1209" NA NA NA NA NA 34 NA NA 0 0
"1210" NA NA NA 1 NA 24 NA NA 0 0
"1211" NA NA NA NA 1 36 NA NA 0 0
"1212" NA NA NA NA NA 33 NA NA 0 0
"1213" NA NA NA NA NA 25 NA NA 0 0
"1214" 1 NA 1 1 NA 29 NA NA 0 0
"1215" NA NA NA NA NA 22 NA NA 0 0
"1216" NA NA NA NA NA 36 NA NA 0 0
"1217" NA NA NA 1 NA 34 NA NA 0 0
"1218" NA NA NA NA 1 43 NA NA 0 0
"1219" NA NA NA NA NA 40 NA NA 0 0
"1220" NA NA NA NA 1 30 NA NA 0 0
"1221" NA NA NA NA NA 36 NA NA 0 0
"1222" NA NA NA NA NA 30 NA NA 0 0
"1223" NA NA NA 1 NA 28 NA NA 0 0
"1224" NA NA NA NA 1 27 NA NA 0 0
"1225" NA NA NA 1 NA 35 NA NA 0 0
"1226" NA NA NA 1 1 36 NA NA 0 0
"1227" NA NA 1 1 1 42 NA NA 0 0
"1228" NA NA NA NA NA 25 NA NA 0 0
"1229" NA NA 1 NA NA 48 NA NA 0 0
"1230" NA NA NA NA NA 22 NA NA 0 0
"1231" NA NA 2 NA 1 41 NA NA 0 0
"1232" NA NA NA NA NA 25 NA NA 0 0
"1233" NA NA NA NA NA 39 NA NA 0 0
"1234" NA NA NA NA NA 32 NA NA 0 0
"1235" NA NA 1 NA NA 37 1 NA 0 0
"1236" NA NA NA 1 NA 29 NA NA 0 0
"1237" NA NA NA 1 NA 27 NA NA 0 0
"1238" NA 1 2 NA NA 29 NA NA 0 0
"1239" NA NA NA NA NA 34 NA NA 0 0
"1240" NA NA 1 NA 1 31 NA NA 0 0
"1241" NA NA NA NA 1 36 NA NA 0 0
"1242" NA 1 NA NA NA 35 NA NA 0 0
"1243" 1 NA 1 NA 1 25 NA NA 0 0
"1244" NA NA NA 1 NA 36 NA NA 0 0
"1245" NA NA 1 NA 1 36 NA NA 0 0
"1246" NA NA 2 NA NA 39 NA NA 0 0
"1247" NA NA NA NA 1 26 NA NA 0 0
"1248" NA NA 1 NA NA 41 NA NA 0 0
"1249" NA NA NA 1 NA 40 NA NA 0 0
"1250" 1 NA NA 1 NA 33 NA NA 0 0
"1251" NA NA 1 1 1 33 NA NA 0 0
"1252" NA NA NA NA NA 40 NA 1 0 0
"1253" NA NA 1 NA NA 37 NA NA 0 0
"1254" NA NA NA 1 NA 33 NA NA 0 0
"1255" NA NA NA NA NA 41 NA NA 0 0
"1256" NA NA NA NA NA 28 NA NA 0 0
"1257" NA NA 1 NA 3 31 NA NA 0 0
"1258" NA NA NA NA NA 18 NA NA 0 0
"1259" NA NA 2 NA 1 45 NA NA 0 0
"1260" NA NA NA NA 1 27 NA NA 0 0
"1261" NA NA NA 1 1 41 NA NA 0 0
"1262" NA NA NA NA NA 24 NA NA 0 0
"1263" NA NA 1 NA NA 40 1 NA 0 0
"1264" NA NA NA NA 1 32 NA NA 0 0
"1265" NA NA NA NA NA 51 NA NA 0 0
"1266" NA NA NA NA NA 41 NA NA 0 0
"1267" NA NA 1 1 1 30 NA NA 0 0
"1268" NA NA NA NA NA 39 NA NA 0 0
"1269" NA NA NA NA NA 42 NA NA 0 0
"1270" NA NA NA NA NA 40 NA NA 0 0
"1271" NA NA NA NA NA 34 NA NA 0 0
"1272" NA NA NA NA NA 30 NA NA 0 0
"1273" NA NA NA NA NA 32 NA NA 0 0
"1274" NA NA 1 NA NA 34 NA NA 0 0
"1275" NA NA NA NA NA 36 NA NA 0 0
"1276" NA NA NA 1 NA 35 NA NA 0 0
"1277" NA NA NA NA NA 20 NA NA 0 0
"1278" NA NA 1 NA 1 31 NA NA 0 0
"1279" NA NA NA NA NA 24 NA NA 0 0
"1280" NA NA NA NA NA 28 NA NA 0 0
"1281" NA NA 1 NA NA 17 NA NA 0 0
"1282" NA NA 1 NA 1 25 NA NA 0 0
"1283" NA NA NA NA NA 27 NA NA 0 0
"1284" NA NA 1 NA 1 36 NA NA 0 0
"1285" NA NA NA NA 1 20 NA NA 0 0
"1286" NA NA NA NA NA 31 NA NA 0 0
"1287" NA NA NA 1 NA 24 NA NA 0 0
"1288" NA NA NA NA 1 44 NA NA 0 0
"1289" NA NA NA 1 NA 36 NA NA 0 0
"1290" NA NA 1 NA NA 37 NA NA 0 0
"1291" NA NA NA NA 1 31 NA NA 0 0
"1292" NA NA NA NA NA 35 NA NA 0 0
"1293" NA NA 1 NA 1 18 NA NA 0 0
"1294" NA NA 1 NA NA 41 NA NA 0 0
"1295" NA NA 1 NA NA 40 NA NA 0 0
"1296" NA NA NA NA NA 43 NA NA 0 0
"1297" NA NA 3 NA 1 23 1 NA 0 0
"1298" NA NA NA NA NA 30 NA NA 0 0
"1299" NA NA NA NA NA 33 NA NA 0 0
"1300" NA NA NA NA 1 38 NA NA 0 0
"1301" NA NA NA NA NA 37 NA NA 0 0
"1302" NA NA NA NA 1 31 NA NA 0 0
"1303" NA NA NA NA NA 40 NA NA 0 0
"1304" NA NA NA NA NA 27 NA NA 0 0
"1305" NA NA NA NA NA 23 NA NA 0 0
"1306" NA NA NA NA NA 43 NA NA 0 0
"1307" NA NA NA NA NA 42 NA NA 0 0
"1308" NA NA 2 NA 1 29 NA NA 0 0
"1309" NA NA NA NA NA 38 NA NA 0 0
"1310" NA NA NA NA NA 39 NA NA 0 0
"1311" NA NA NA NA 1 28 NA NA 0 0
"1312" NA NA 1 NA NA 30 NA NA 0 0
"1313" NA NA NA 2 3 29 NA NA 0 0
"1314" NA NA NA NA 1 35 NA NA 0 0
"1315" NA 1 1 1 1 42 NA NA 0 0
"1316" NA NA NA NA 1 33 NA NA 0 0
"1317" NA NA NA NA NA 28 NA NA 0 0
"1318" NA NA NA NA 1 36 NA NA 0 0
"1319" NA NA NA NA NA 31 NA NA 0 0
"1320" NA NA 2 NA 3 27 NA NA 0 0
"1321" NA NA NA NA NA 47 NA NA 0 0
"1322" NA NA 1 NA NA 39 NA NA 0 0
"1323" NA NA 1 NA 1 45 NA NA 0 0
"1324" NA NA NA NA NA 27 NA NA 0 0
"1325" NA NA NA 1 1 31 NA NA 0 0
"1326" NA NA 1 1 NA 35 1 NA 0 0
"1327" NA NA NA 1 NA 33 NA NA 0 0
"1328" NA NA NA NA 1 29 NA NA 0 0
"1329" NA 1 1 NA 1 38 NA NA 0 0
"1330" NA NA NA NA NA 41 NA NA 0 0
"1331" NA NA NA NA NA 49 NA NA 0 0
"1332" NA NA NA NA NA 40 NA NA 0 0
"1333" NA NA NA NA NA 26 NA NA 0 0
"1334" NA NA NA 1 NA 24 NA NA 0 0
"1335" NA NA NA NA NA 27 NA NA 0 0
"1336" NA NA NA NA NA 30 NA NA 0 0
"1337" NA 1 NA NA NA 28 NA NA 0 0
"1338" NA NA NA NA NA 32 NA NA 0 0
"1339" NA NA 1 NA NA 43 NA NA 0 0
"1340" NA NA NA NA NA 30 NA NA 0 0
"1341" NA NA 2 NA NA 26 NA NA 0 0
"1342" NA NA NA NA NA 42 3 NA 0 0
"1343" NA NA NA NA NA 50 NA NA 0 0
"1344" NA NA NA 1 NA 30 NA NA 0 0
"1345" NA NA NA NA 1 31 NA NA 0 0
"1346" NA NA NA NA NA 33 NA NA 0 0
"1347" NA NA NA NA NA 43 NA NA 0 0
"1348" NA 1 1 NA 1 48 NA NA 0 0
"1349" NA NA 1 NA NA 36 1 NA 0 0
"1350" NA NA NA 1 NA 39 NA NA 0 0
"1351" NA 1 NA NA NA 32 NA NA 0 0
"1352" NA NA 1 NA 1 42 NA NA 0 0
"1353" NA NA NA NA NA 29 NA NA 0 0
"1354" NA NA 1 NA 1 35 1 NA 0 0
"1355" 1 NA NA 1 NA 27 NA NA 0 0
"1356" NA NA NA NA NA 31 NA NA 0 0
"1357" NA NA 2 1 1 45 NA NA 0 0
"1358" NA NA 2 NA 1 28 NA NA 0 0
"1359" NA NA NA 1 NA 24 NA 1 0 0
"1360" NA NA 2 NA 1 31 NA NA 0 0
"1361" NA NA NA NA NA 38 NA NA 0 0
"1362" NA NA NA NA 1 46 NA NA 0 0
"1363" NA NA 1 NA NA 39 NA NA 0 0
"1364" NA NA NA NA NA 34 NA NA 0 0
"1365" NA NA NA NA 1 48 NA NA 0 0
"1366" NA NA 2 1 NA 40 NA NA 0 0
"1367" NA NA NA NA 2 30 NA NA 0 0
"1368" NA NA NA NA NA 30 NA 1 0 0
"1369" NA NA NA NA NA 26 NA NA 0 0
"1370" NA NA NA NA NA 25 NA NA 0 0
"1371" NA NA NA NA NA 43 NA NA 0 0
"1372" NA NA NA NA NA 45 NA NA 0 0
"1373" NA NA NA NA 1 49 NA NA 0 0
"1374" NA NA 1 NA 1 36 NA NA 0 0
"1375" NA NA NA NA NA 42 NA NA 0 0
"1376" NA NA NA 2 NA 44 NA NA 0 0
"1377" NA NA NA NA NA 27 NA NA 0 0
"1378" NA NA 1 1 1 22 NA NA 0 0
"1379" NA NA NA 1 NA 40 NA NA 0 0
"1380" NA NA 1 NA NA 44 NA NA 0 0
"1381" NA NA NA NA NA 35 NA NA 0 0
"1382" NA NA NA 1 NA 30 NA NA 0 0
"1383" NA NA NA NA NA 37 NA NA 0 0
"1384" NA NA NA NA 1 44 NA NA 0 0
"1385" NA NA NA NA NA 37 NA NA 0 0
"1386" NA NA 1 1 NA 36 NA NA 0 0
"1387" NA NA 1 1 1 35 NA NA 0 0
"1388" NA NA NA NA 1 30 NA NA 0 0
"1389" 1 NA NA 1 NA 35 NA NA 0 0
"1390" 1 NA NA 1 NA 32 NA NA 0 0
"1391" NA NA NA NA 1 35 NA NA 0 0
"1392" NA NA NA NA NA 39 NA NA 0 0
"1393" NA NA 1 NA 1 41 NA NA 0 0
"1394" NA NA 2 NA NA 35 NA NA 0 0
"1395" NA NA 1 NA 1 26 NA NA 0 0
"1396" NA NA 1 NA 1 33 NA NA 0 0
"1397" NA NA 2 NA 1 50 NA NA 0 0
"1398" NA NA NA NA NA 35 NA NA 0 0
"1399" NA NA NA 1 NA 44 NA NA 0 0
"1400" NA NA NA NA NA 27 NA NA 0 0
"1401" NA NA NA NA NA 28 NA NA 0 0
"1402" NA NA 1 NA NA 29 NA NA 0 0
"1403" NA NA NA NA NA 29 NA NA 0 0
"1404" NA NA 1 NA NA 36 NA NA 0 0
"1405" NA NA NA NA 1 37 NA NA 0 0
"1406" NA NA NA NA NA 33 2 1 0 0
"1407" NA NA 1 NA NA 32 NA NA 0 0
"1408" NA NA NA NA NA 40 NA NA 0 0
"1409" NA NA NA 1 NA 34 NA NA 0 0
"1410" NA NA NA NA NA 33 NA NA 0 0
"1411" NA NA NA NA NA 31 NA NA 0 0
"1412" 1 NA 2 1 NA 33 NA NA 0 0
"1413" NA NA NA NA NA 19 NA NA 0 0
"1414" NA NA NA NA NA 28 NA NA 0 0
"1415" 1 NA NA NA 1 26 NA 1 0 0
"1416" NA NA NA 1 1 42 NA NA 0 0
"1417" NA NA NA NA 1 41 NA NA 0 0
"1418" NA NA NA NA NA 30 NA NA 0 0
"1419" NA NA NA NA 1 35 NA NA 0 0
"1420" NA NA NA NA NA 42 NA NA 0 0
"1421" NA NA NA NA NA 22 NA NA 0 0
"1422" NA NA NA NA NA 38 NA NA 0 0
"1423" NA NA 1 NA 1 36 NA NA 0 0
"1424" NA NA NA NA NA 29 NA NA 0 0
"1425" NA NA NA NA NA 35 NA NA 0 0
"1426" NA NA NA NA NA 27 1 NA 0 0
"1427" NA NA NA NA NA 38 NA NA 0 0
"1428" NA NA NA NA NA 37 NA NA 0 0
"1429" NA NA 2 NA NA 42 NA NA 0 0
"1430" NA NA NA 2 NA 36 NA NA 0 0
"1431" NA NA NA 1 NA 42 NA NA 0 0
"1432" NA NA NA NA NA 37 NA NA 0 0
"1433" NA NA NA NA 1 34 NA NA 0 0
"1434" NA NA NA NA NA 30 NA NA 0 0
"1435" NA NA NA NA NA 43 NA 1 0 0
"1436" NA NA NA NA NA 48 2 1 0 0
"1437" NA 1 1 NA 2 29 NA NA 0 0
"1438" NA NA NA NA NA 40 NA NA 0 0
"1439" NA NA NA NA NA 22 NA NA 0 0
"1440" NA NA NA NA 1 40 1 NA 0 0
"1441" NA NA 1 NA NA 31 NA NA 0 0
"1442" NA NA 2 NA 1 30 NA NA 0 0
"1443" NA NA 1 NA NA 30 NA NA 0 0
"1444" NA NA NA NA NA 28 NA NA 0 0
"1445" NA NA NA NA NA 39 NA NA 0 0
"1446" NA NA NA NA NA 38 NA NA 0 0
"1447" NA NA NA NA NA 46 NA NA 0 0
"1448" NA NA 1 1 1 40 NA NA 0 0
"1449" NA NA NA NA NA 33 NA NA 0 0
"1450" NA NA NA NA NA 23 NA NA 0 0
"1451" NA NA NA NA NA 30 NA NA 0 0
"1452" NA NA NA NA 1 30 NA NA 0 0
"1453" NA 1 NA NA NA 29 NA NA 0 0
"1454" NA NA NA NA NA 42 NA NA 0 0
"1455" NA NA 2 NA NA 36 NA NA 0 0
"1456" NA NA 1 NA 1 29 NA NA 0 0
"1457" 1 NA NA NA NA 18 NA NA 0 0
"1458" NA NA NA NA NA 46 NA NA 0 0
"1459" NA NA 1 NA 1 54 NA NA 0 0
"1460" NA NA NA NA NA 38 NA NA 0 0
"1461" 1 1 NA 1 NA 32 NA NA 0 0
"1462" NA NA NA NA NA 58 NA NA 0 0
"1463" NA NA NA NA NA 30 NA NA 0 0
"1464" 1 NA NA NA 1 24 NA NA 0 0
"1465" NA NA NA NA NA 45 NA NA 0 0
"1466" NA NA NA NA 1 36 NA NA 0 0
"1467" NA NA 1 NA 1 29 NA NA 0 0
"1468" NA NA 2 NA 1 36 NA NA 0 0
"1469" NA NA NA NA NA 30 1 NA 0 0
"1470" NA NA NA NA 1 38 NA NA 0 0
"1471" NA NA NA NA NA 31 NA NA 0 0
"1472" NA NA NA NA NA 23 NA NA 0 0
"1473" NA NA NA 1 NA 18 1 NA 0 0
"1474" NA NA 1 NA NA 46 NA NA 0 0
"1475" NA NA NA 1 NA 26 NA NA 0 0
"1476" NA NA NA NA NA 42 NA NA 0 0
"1477" NA NA NA NA NA 42 NA NA 0 0
"1478" NA NA NA NA 1 32 NA NA 0 0
"1479" NA NA 1 NA 1 25 NA NA 0 0
"1480" NA NA 1 NA NA 42 NA NA 0 0
"1481" NA NA NA NA 1 35 NA NA 0 0
"1482" NA NA NA NA NA 33 NA NA 0 0
"1483" NA 1 NA NA 1 37 NA NA 0 0
"1484" NA NA NA NA NA 34 NA NA 0 0
"1485" NA NA 1 NA NA 42 NA NA 0 0
"1486" NA 1 NA 1 NA 32 NA NA 0 0
"1487" NA NA 1 NA NA 39 NA NA 0 0
"1488" NA NA NA 1 NA 31 NA NA 0 0
"1489" NA NA NA NA NA 27 1 NA 0 0
"1490" NA NA NA NA NA 34 NA NA 0 0
"1491" NA NA NA NA NA 28 NA 1 0 0
"1492" NA NA NA NA NA 33 NA NA 0 0
"1493" NA NA NA 1 NA 31 NA NA 0 0
"1494" NA NA 1 NA NA 22 NA NA 0 0
"1495" NA NA NA NA 1 42 NA NA 0 0
"1496" NA NA NA NA NA 34 NA NA 0 0
"1497" NA NA NA NA NA 16 1 NA 0 0
"1498" NA NA NA 1 NA 47 NA NA 0 0
"1499" NA NA 1 1 1 56 NA NA 0 0
"1500" NA NA NA NA NA 25 1 NA 0 0
"1501" NA NA NA NA NA 44 NA NA 0 NA
"1502" NA NA 1 NA 1 27 NA NA 0 NA
"1503" NA NA NA 3 NA 27 NA NA 0 NA
"1504" NA NA NA NA NA 30 NA NA 0 NA
"1505" NA NA NA NA 1 31 NA NA 0 NA
"1506" NA NA 1 NA NA 29 NA NA 0 NA
"1507" NA NA NA 1 NA 29 NA NA 0 NA
"1508" NA NA 2 NA 1 41 NA NA 0 NA
"1509" NA NA NA NA 1 27 NA NA 0 NA
"1510" NA NA NA NA NA 39 NA NA 0 NA
"1511" NA NA 2 NA 3 30 NA NA 0 NA
"1512" NA NA 1 NA NA 35 NA 1 0 NA
"1513" NA NA NA NA NA 32 NA 1 0 NA
"1514" NA NA NA 1 NA 41 NA NA 0 NA
"1515" NA NA NA NA NA 33 NA NA 0 NA
"1516" NA NA NA NA NA 18 NA NA 0 NA
"1517" NA NA 1 NA NA 37 NA NA 0 NA
"1518" NA NA NA NA NA 27 NA NA 0 NA
"1519" NA NA 1 NA NA 28 NA NA 0 NA
"1520" NA NA NA NA NA 39 NA NA 0 NA
"1521" NA NA 2 1 1 31 NA NA 0 NA
"1522" NA NA NA NA 3 47 NA NA 0 NA
"1523" NA NA 1 1 NA 46 NA NA 0 NA
"1524" NA NA NA NA NA 38 NA NA 0 NA
"1525" NA NA NA NA NA 27 NA NA 0 NA
"1526" 1 NA NA 1 1 32 NA NA 0 NA
"1527" NA NA NA NA 1 32 NA NA 0 NA
"1528" NA NA NA NA NA 27 NA NA 0 NA
"1529" 1 NA NA NA NA 35 NA NA 0 NA
"1530" NA NA 1 NA 1 30 NA NA 0 NA
"1531" NA NA NA NA NA 26 NA NA 0 NA
"1532" NA NA NA NA 1 37 NA NA 0 NA
"1533" NA NA NA 1 NA 32 NA NA 0 NA
"1534" NA NA NA 2 1 54 NA NA 0 NA
"1535" NA NA NA 1 1 39 NA NA 0 NA
"1536" NA NA NA NA 1 35 NA NA 0 NA
"1537" NA NA 1 1 2 31 NA 1 0 NA
"1538" NA NA 1 NA NA 28 NA NA 0 NA
"1539" NA NA NA NA NA 36 1 NA 0 NA
"1540" NA NA 1 1 NA 34 NA NA 0 NA
"1541" NA NA NA NA 1 42 NA NA 0 NA
"1542" NA NA NA NA NA 28 NA NA 0 NA
"1543" NA NA NA NA 1 34 NA NA 0 NA
"1544" NA NA NA NA NA 36 NA NA 0 NA
"1545" NA NA 1 2 1 30 NA NA 0 NA
"1546" NA 1 NA 1 NA 31 NA NA 0 NA
"1547" NA NA NA NA NA 24 NA NA 0 NA
"1548" NA 1 2 1 NA 44 NA NA 0 NA
"1549" NA NA 1 1 NA 36 NA NA 0 NA
"1550" NA NA NA NA NA 43 NA NA 0 NA
"1551" NA NA NA 1 1 35 NA NA 0 NA
"1552" NA NA NA NA NA 27 NA 1 0 NA
"1553" NA NA NA 1 NA 43 NA NA 0 NA
"1554" 1 NA 1 NA 1 41 NA NA 0 NA
"1555" NA NA NA NA NA 35 NA NA 0 NA
"1556" NA NA NA NA NA 27 NA NA 0 NA
"1557" NA NA NA NA NA 36 NA NA 0 NA
"1558" NA NA 1 1 1 28 NA NA 0 NA
"1559" NA NA NA NA NA 29 NA NA 0 NA
"1560" NA NA 1 NA 1 33 NA NA 0 NA
"1561" NA NA NA NA NA 43 NA NA 0 NA
"1562" NA NA NA NA 1 28 NA NA 0 NA
"1563" NA NA 1 NA 1 32 NA NA 0 NA
"1564" NA NA 2 NA 1 35 NA NA 0 NA
"1565" NA NA NA 1 1 34 NA NA 0 NA
"1566" NA NA 2 NA NA 23 NA NA 0 NA
"1567" NA NA NA NA NA 27 NA NA 0 NA
"1568" NA NA NA 1 1 32 NA 1 0 NA
"1569" NA NA 2 1 2 47 NA NA 0 NA
"1570" NA NA NA NA NA 41 NA NA 0 1
"1571" NA NA NA NA NA 35 NA NA 0 NA
"1572" NA NA 2 1 NA 24 NA NA 0 NA
"1573" NA NA NA NA NA 27 NA NA 0 NA
"1574" NA NA 3 NA NA 23 NA NA 0 NA
"1575" NA NA 1 NA NA 21 NA NA 0 NA
"1576" NA NA NA NA NA 37 NA NA 0 NA
"1577" NA NA NA NA NA 43 NA NA 0 NA
"1578" NA NA 1 NA NA 35 NA NA 0 NA
"1579" NA NA 2 NA NA 40 NA NA 0 NA
"1580" NA NA 1 NA 1 38 NA NA 0 NA
"1581" NA NA NA NA NA 35 NA NA 0 NA
"1582" 2 NA NA 1 NA 30 1 NA 0 NA
"1583" NA NA NA NA NA 25 NA NA 0 NA
"1584" NA NA NA NA NA 25 NA NA 0 NA
"1585" NA NA NA NA NA 34 NA NA 0 NA
"1586" NA NA NA NA NA 23 NA NA 0 NA
"1587" NA NA NA NA NA 37 NA NA 0 NA
"1588" NA NA NA NA 1 28 NA NA 0 NA
"1589" NA NA NA NA NA 43 NA NA 0 NA
"1590" NA NA NA 1 NA 34 NA NA 0 NA
"1591" NA NA 1 NA 1 24 NA NA 0 NA
"1592" NA NA 1 1 1 32 NA NA 0 NA
"1593" NA NA NA 1 2 42 NA NA 0 NA
"1594" NA NA 1 NA 1 34 1 1 0 NA
"1595" NA NA NA 1 NA 27 NA NA 0 NA
"1596" NA NA NA NA NA 33 NA NA 0 NA
"1597" NA NA NA NA NA 38 NA NA 0 NA
"1598" NA NA NA NA NA 43 NA NA 0 NA
"1599" NA NA 1 NA 1 42 NA NA 0 NA
"1600" NA NA 1 1 NA 34 NA NA 0 NA
"1601" NA NA 1 NA NA 21 NA NA 0 0
"1602" NA NA 1 2 NA 30 NA NA 0 0
"1603" NA NA NA NA NA 54 NA NA 0 0
"1604" NA NA NA NA NA 28 NA NA 0 0
"1605" NA NA NA NA NA 39 NA NA 0 0
"1606" 1 NA NA 1 NA 42 NA NA 0 0
"1607" NA NA 2 NA 1 31 NA NA 0 0
"1608" NA NA NA NA NA 39 NA NA 0 0
"1609" NA NA NA 1 NA 37 NA NA 0 0
"1610" NA NA NA NA 2 52 NA NA 0 0
"1611" NA NA 1 1 NA 27 NA NA 0 0
"1612" NA NA 1 1 1 36 NA NA 0 0
