kinase_gene_name	kinase_oln_id	kinase_gene_description	target_gene_name	target_oln_id	target_gene_description	score
MKK1	YOR231W	MAP kinase kinase MKK1/SSP32	RGD1	YBR260C	RHO GTPase-activating protein RGD1	4.305641
SNF1	YDR477W	Carbon catabolite-derepressing protein kinase	GLC7	YER133W	Serine/threonine-protein phosphatase PP1-2	4.30359
SMK1	YPR054W	Sporulation-specific mitogen-activated protein kinase SMK1	GSC2	YGR032W	1,3-beta-glucan synthase component GSC2	4.30359
CLA4	YNL298W	Serine/threonine-protein kinase CLA4	BEM3	YPL115C	GTPase-activating protein BEM3	4.30153
KKQ8	YKL168C	Probable serine/threonine-protein kinase KKQ8	BMH2	YDR099W	Protein BMH2	4.28654
HRR25	YPL204W	Casein kinase I homolog HRR25	PFS1	YHR185C	Prospore formation at selected spindle poles protein 1	4.28654
STE20	YHL007C	Serine/threonine-protein kinase STE20	SHO1	YER118C	High osmolarity signaling protein SHO1	4.28654
BCK1	YJL095W	Serine/threonine-protein kinase BCK1/SLK1/SSP31	PTP2	YOR208W	Tyrosine-protein phosphatase 2	4.285931
BCK1	YJL095W	Serine/threonine-protein kinase BCK1/SLK1/SSP31	NBP2	YDR162C	NAP1-binding protein 2	4.281379
CDC5	YMR001C	Cell cycle serine/threonine-protein kinase CDC5/MSD2	FKH2	YNL068C	Fork head protein homolog 2	4.27545
CTK1	YKL139W	CTD kinase subunit alpha	HTA1	YDR225W	Histone H2A.1	4.27545
CTK1	YKL139W	CTD kinase subunit alpha	HTA2	YBL003C	Histone H2A.2	4.27545
CTK1	YKL139W	CTD kinase subunit alpha	HTB1	YDR224C	Histone H2B.1	4.27545
CTK1	YKL139W	CTD kinase subunit alpha	HTB2	YBL002W	Histone H2B.2	4.27545
CTK1	YKL139W	CTD kinase subunit alpha	POL1	YNL102W	DNA polymerase alpha catalytic subunit A	4.27545
HRR25	YPL204W	Casein kinase I homolog HRR25	RPO21	YDL140C	DNA-directed RNA polymerase II subunit RPB1	4.27545
BUB1	YGR188C	Checkpoint serine/threonine-protein kinase BUB1	SKP1	YDR328C	Suppressor of kinetochore protein 1	4.27545
KIN3	YAR018C	Serine/threonine-protein kinase KIN3	NDC80	YIL144W	Kinetochore protein NDC80 {ECO:0000303|PubMed:11179222}	4.27545
PKC1	YBL105C	Protein kinase C-like 1	MID2	YLR332W	Cell wall integrity sensor MID2 precursor	4.267131
YCK1	YHR135C	Casein kinase I homolog 1	REG1	YDR028C	Resistance to glucose repression protein 1	4.267131
BCK1	YJL095W	Serine/threonine-protein kinase BCK1/SLK1/SSP31	SLG1	YOR008C	Protein SLG1 precursor	4.267131
CLA4	YNL298W	Serine/threonine-protein kinase CLA4	RTS1	YOR014W	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform	4.259618
MKK2	YPL140C	MAP kinase kinase MKK2/SSP33	SPA2	YLL021W	Protein SPA2	4.24292
SSN3	YPL042C	Meiotic mRNA stability protein kinase SSN3	SRB8	YCR081W	Mediator of RNA polymerase II transcription subunit 12	4.239523
PHO85	YPL031C	Cyclin-dependent protein kinase PHO85	DMA1	YHR115C	E3 ubiquitin-protein ligase DMA1 {ECO:0000305|PubMed:18202552}	4.23563
CDC28	YBR160W	Cyclin-dependent kinase 1	KEL2	YGR238C	Kelch repeat-containing protein 2	4.23563
CDC28	YBR160W	Cyclin-dependent kinase 1	KKQ8	YKL168C	Probable serine/threonine-protein kinase KKQ8	4.23563
CDC28	YBR160W	Cyclin-dependent kinase 1	MPC54	YOR177C	Meiotic plaque component protein 54	4.23563
CDC28	YBR160W	Cyclin-dependent kinase 1	NA	YBR138C	Uncharacterized protein YBR138C	4.23563
PHO85	YPL031C	Cyclin-dependent protein kinase PHO85	IGD1	YFR017C	Inhibitor of glycogen debranching 1	4.23563
TOR1	YJR066W	Serine/threonine-protein kinase TOR1	URE2	YNL229C	Transcriptional regulator URE2	4.222849
TPK1	YJL164C	cAMP-dependent protein kinase type 1	GPB2	YAL056W	Guanine nucleotide-binding protein subunit beta 2	4.212678
PRK1	YIL095W	Actin-regulating kinase PRK1	ARP2	YDL029W	Actin-related protein 2	4.211759
CDC5	YMR001C	Cell cycle serine/threonine-protein kinase CDC5/MSD2	MOB1	YIL106W	DBF2 kinase activator protein MOB1	4.20737
TOR1	YJR066W	Serine/threonine-protein kinase TOR1	TPK1	YJL164C	cAMP-dependent protein kinase type 1	4.20737
CDC28	YBR160W	Cyclin-dependent kinase 1	BNI1	YNL271C	Protein BNI1	4.17673
PHO85	YPL031C	Cyclin-dependent protein kinase PHO85	SAP185	YJL098W	SIT4-associating protein SAP185	4.17673
BCK1	YJL095W	Serine/threonine-protein kinase BCK1/SLK1/SSP31	NA	YMR295C	Uncharacterized protein YMR295C	4.171611
PHO85	YPL031C	Cyclin-dependent protein kinase PHO85	SCH9	YHR205W	Serine/threonine-protein kinase SCH9	4.16586
CBK1	YNL161W	Serine/threonine-protein kinase CBK1	SIN3	YOL004W	Transcriptional regulatory protein SIN3	4.148589
ELM1	YKL048C	Serine/threonine-protein kinase ELM1	BEM3	YPL115C	GTPase-activating protein BEM3	4.139676
PKP2	YGL059W	[Pyruvate dehydrogenase (acetyl-transferring)] kinase 2, mitochondrial precursor	PKP1	YIL042C	[Pyruvate dehydrogenase (acetyl-transferring)] kinase 1, mitochondrial precursor	4.138427
SLT2	YHR030C	Mitogen-activated protein kinase SLT2/MPK1	FKS1	YLR342W	1,3-beta-glucan synthase component FKS1	4.13184
ELM1	YKL048C	Serine/threonine-protein kinase ELM1	CLB2	YPR119W	G2/mitotic-specific cyclin-2	4.129789
SNF1	YDR477W	Carbon catabolite-derepressing protein kinase	CKA1	YIL035C	Casein kinase II subunit alpha	4.124499
AKL1	YBR059C	Serine/threonine-protein kinase AKL1	SKI8	YGL213C	Antiviral protein SKI8	4.1214882
HRR25	YPL204W	Casein kinase I homolog HRR25	ELP3	YPL086C	Elongator complex protein 3	4.11853
TPK2	YPL203W	cAMP-dependent protein kinase type 2	MSN4	YKL062W	Zinc finger protein MSN4	4.11853
TOR1	YJR066W	Serine/threonine-protein kinase TOR1	NPR1	YNL183C	Nitrogen permease reactivator protein	4.11853
TOR2	YKL203C	Serine/threonine-protein kinase TOR2	NPR1	YNL183C	Nitrogen permease reactivator protein	4.11853
MCK1	YNL307C	Protein kinase MCK1	PMD1	YER132C	Negative regulator of sporulation PMD1	4.11853
HRR25	YPL204W	Casein kinase I homolog HRR25	SIT4	YDL047W	Serine/threonine-protein phosphatase PP1-1	4.11853
NPR1	YNL183C	Nitrogen permease reactivator protein	TOR1	YJR066W	Serine/threonine-protein kinase TOR1	4.11853
NPR1	YNL183C	Nitrogen permease reactivator protein	TOR2	YKL203C	Serine/threonine-protein kinase TOR2	4.11853
YAK1	YJL141C	Dual specificity protein kinase YAK1	TPK2	YPL203W	cAMP-dependent protein kinase type 2	4.11853
CDC5	YMR001C	Cell cycle serine/threonine-protein kinase CDC5/MSD2	CDC15	YAR019C	Cell division control protein 15	4.1175
BUB1	YGR188C	Checkpoint serine/threonine-protein kinase BUB1	MAD1	YGL086W	Spindle assembly checkpoint component MAD1	4.104789
SSK22	YCR073C	Serine/threonine-protein kinase SSK22	SSK2	YNR031C	MAP kinase kinase kinase SSK2	4.101781
SSK2	YNR031C	MAP kinase kinase kinase SSK2	SSK22	YCR073C	Serine/threonine-protein kinase SSK22	4.101781
HOG1	YLR113W	Mitogen-activated protein kinase HOG1	STE7	YDL159W	Serine/threonine-protein kinase STE7	4.101781
SLT2	YHR030C	Mitogen-activated protein kinase SLT2/MPK1	PIL1	YGR086C	Sphingolipid long chain base-responsive protein PIL1	4.09973
HSL1	YKL101W	Probable serine/threonine-protein kinase HSL1	CDC3	YLR314C	Cell division control protein 3	4.08901
CTK1	YKL139W	CTD kinase subunit alpha	RPA190	YOR341W	DNA-directed RNA polymerase I subunit RPA190	4.08901
KIN1	YDR122W	Serine/threonine protein kinase KIN1	ATG19	YOL082W	Autophagy-related protein 19	4.08268
MPS1	YDL028C	Serine/threonine-protein kinase MPS1	BEM1	YBR200W	Bud emergence protein 1	4.08268
KIN2	YLR096W	Serine/threonine-protein kinase KIN2	BUD14	YAR014C	Bud site selection protein 14	4.08268
ISR1	YPR106W	Serine/threonine-protein kinase ISR1	CHS2	YBR038W	Chitin synthase 2	4.08268
CKA2	YOR061W	Casein kinase II subunit alpha'	CKB2	YOR039W	Casein kinase II subunit beta'	4.08268
HRR25	YPL204W	Casein kinase I homolog HRR25	DCP1	YOL149W	mRNA-decapping enzyme subunit 1	4.08268
FUS3	YBL016W	Mitogen-activated protein kinase FUS3	DIG1	YPL049C	Down-regulator of invasive growth 1	4.08268
KSS1	YGR040W	Mitogen-activated protein kinase KSS1	DIG1	YPL049C	Down-regulator of invasive growth 1	4.08268
KSS1	YGR040W	Mitogen-activated protein kinase KSS1	DIG2	YDR480W	Down-regulator of invasive growth 2	4.08268
BCK1	YJL095W	Serine/threonine-protein kinase BCK1/SLK1/SSP31	MYO3	YKL129C	Myosin-3	4.08268
KCC4	YCL024W	Probable serine/threonine-protein kinase KCC4	NAP1	YKR048C	Nucleosome assembly protein	4.08268
RIM11	YMR139W	Serine/threonine-protein kinase RIM11/MSD1	NAP1	YKR048C	Nucleosome assembly protein	4.08268
SKM1	YOL113W	Serine/threonine-protein kinase SKM1	NBP2	YDR162C	NAP1-binding protein 2	4.08268
PSK1	YAL017W	Serine/threonine-protein kinase PSK1	PBP1	YGR178C	PAB1-binding protein 1	4.08268
PSK1	YAL017W	Serine/threonine-protein kinase PSK1	PRB1	YEL060C	Cerevisin precursor	4.08268
PKC1	YBL105C	Protein kinase C-like 1	SLA1	YBL007C	Actin cytoskeleton-regulatory complex protein SLA1	4.08268
NNK1	YKL171W	Nitrogen network kinase 1	URE2	YNL229C	Transcriptional regulator URE2	4.08268
ARK1	YNL020C	Actin-regulating kinase 1	YAP1802	YGR241C	Clathrin coat assembly protein AP180B	4.08268
PRK1	YIL095W	Actin-regulating kinase PRK1	YAP1802	YGR241C	Clathrin coat assembly protein AP180B	4.08268
CBK1	YNL161W	Serine/threonine-protein kinase CBK1	HYM1	YKL189W	Protein HYM1	4.082071
HOG1	YLR113W	Mitogen-activated protein kinase HOG1	STE11	YLR362W	Serine/threonine-protein kinase STE11	4.082071
BCK1	YJL095W	Serine/threonine-protein kinase BCK1/SLK1/SSP31	RHO5	YNL180C	GTP-binding protein RHO5 precursor	4.08002
SLT2	YHR030C	Mitogen-activated protein kinase SLT2/MPK1	RHO5	YNL180C	GTP-binding protein RHO5 precursor	4.08002
YCK2	YNL154C	Casein kinase I homolog 2	RTS1	YOR014W	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform	4.08002
YCK1	YHR135C	Casein kinase I homolog 1	RTS1	YOR014W	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform	4.08002
GIN4	YDR507C	Serine/threonine-protein kinase GIN4	RTS1	YOR014W	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform	4.08002
CMK2	YOL016C	Calcium/calmodulin-dependent protein kinase II	CMD1	YBR109C	Calmodulin	4.07159
SLT2	YHR030C	Mitogen-activated protein kinase SLT2/MPK1	RIM101	YHL027W	pH-response transcription factor pacC/RIM101	4.063271
CDC28	YBR160W	Cyclin-dependent kinase 1	GCN4	YEL009C	General control protein GCN4	4.06297
CDC28	YBR160W	Cyclin-dependent kinase 1	ZDS2	YML109W	Protein ZDS2	4.06297
STE11	YLR362W	Serine/threonine-protein kinase STE11	FUS3	YBL016W	Mitogen-activated protein kinase FUS3	4.060561
HOG1	YLR113W	Mitogen-activated protein kinase HOG1	HOG1	YLR113W	Mitogen-activated protein kinase HOG1	4.060561
PKC1	YBL105C	Protein kinase C-like 1	KSS1	YGR040W	Mitogen-activated protein kinase KSS1	4.060561
SLT2	YHR030C	Mitogen-activated protein kinase SLT2/MPK1	PBS2	YJL128C	MAP kinase kinase PBS2	4.060561
PBS2	YJL128C	MAP kinase kinase PBS2	SLT2	YHR030C	Mitogen-activated protein kinase SLT2/MPK1	4.060561
STE11	YLR362W	Serine/threonine-protein kinase STE11	SLT2	YHR030C	Mitogen-activated protein kinase SLT2/MPK1	4.060561
SLT2	YHR030C	Mitogen-activated protein kinase SLT2/MPK1	STE11	YLR362W	Serine/threonine-protein kinase STE11	4.060561
STE11	YLR362W	Serine/threonine-protein kinase STE11	STE7	YDL159W	Serine/threonine-protein kinase STE7	4.060561
SKY1	YMR216C	Serine/threonine-protein kinase SKY1	TRK1	YJL129C	High-affinity potassium transport protein	4.0586
SKY1	YMR216C	Serine/threonine-protein kinase SKY1	TRK2	YKR050W	Low-affinity potassium transport protein	4.0586
CBK1	YNL161W	Serine/threonine-protein kinase CBK1	CBK1	YNL161W	Serine/threonine-protein kinase CBK1	4.03333
TPK2	YPL203W	cAMP-dependent protein kinase type 2	GPB2	YAL056W	Guanine nucleotide-binding protein subunit beta 2	4.03308
TPK3	YKL166C	cAMP-dependent protein kinase type 3	GPB2	YAL056W	Guanine nucleotide-binding protein subunit beta 2	4.03308
SLT2	YHR030C	Mitogen-activated protein kinase SLT2/MPK1	SED1	YDR077W	Cell wall protein SED1 precursor	4.03017
BCK1	YJL095W	Serine/threonine-protein kinase BCK1/SLK1/SSP31	SED1	YDR077W	Cell wall protein SED1 precursor	4.03017
PRK1	YIL095W	Actin-regulating kinase PRK1	LAS17	YOR181W	Proline-rich protein LAS17	4.027817
PHO85	YPL031C	Cyclin-dependent protein kinase PHO85	CLG1	YGL215W	PHO85 cyclin CLG1	4.01603
CLA4	YNL298W	Serine/threonine-protein kinase CLA4	GPI16	YHR188C	GPI transamidase component GPI16 precursor	4.00136
STE20	YHL007C	Serine/threonine-protein kinase STE20	BNI1	YNL271C	Protein BNI1	3.991171
CDC5	YMR001C	Cell cycle serine/threonine-protein kinase CDC5/MSD2	CDC27	YBL084C	Anaphase-promoting complex subunit CDC27	3.991171
SKM1	YOL113W	Serine/threonine-protein kinase SKM1	CDC42	YLR229C	Cell division control protein 42 precursor	3.98497
SNF1	YDR477W	Carbon catabolite-derepressing protein kinase	SIP3	YNL257C	Membrane-anchored lipid-binding protein SIP3 {ECO:0000303|PubMed:26001273}	3.98497
SNF1	YDR477W	Carbon catabolite-derepressing protein kinase	STR3	YGL184C	Cystathionine beta-lyase	3.9620282
HSL1	YKL101W	Probable serine/threonine-protein kinase HSL1	NAP1	YKR048C	Nucleosome assembly protein	3.952761
SLT2	YHR030C	Mitogen-activated protein kinase SLT2/MPK1	ACK1	YDL203C	Activator of C kinase protein 1	3.949911
CDC28	YBR160W	Cyclin-dependent kinase 1	SSD1	YDR293C	Protein SSD1	3.948259
STE20	YHL007C	Serine/threonine-protein kinase STE20	BOI1	YBL085W	Protein BOB1	3.933847
SNF1	YDR477W	Carbon catabolite-derepressing protein kinase	ARG1	YOL058W	Argininosuccinate synthase	3.92322
SNF1	YDR477W	Carbon catabolite-derepressing protein kinase	ARG3	YJL088W	Ornithine carbamoyltransferase	3.92322
SLT2	YHR030C	Mitogen-activated protein kinase SLT2/MPK1	CCW14	YLR390W-A	Covalently-linked cell wall protein 14 precursor	3.92322
CDC5	YMR001C	Cell cycle serine/threonine-protein kinase CDC5/MSD2	CDC28	YBR160W	Cyclin-dependent kinase 1	3.92322
SLT2	YHR030C	Mitogen-activated protein kinase SLT2/MPK1	CIS3	YJL158C	Cell wall mannoprotein CIS3 precursor	3.92322
HOG1	YLR113W	Mitogen-activated protein kinase HOG1	CRH1	YGR189C	Probable glycosidase CRH1 precursor	3.92322
CBK1	YNL161W	Serine/threonine-protein kinase CBK1	CTS1	YLR286C	Endochitinase precursor	3.92322
KIC1	YHR102W	Serine/threonine-protein kinase KIC1	CTS1	YLR286C	Endochitinase precursor	3.92322
HOG1	YLR113W	Mitogen-activated protein kinase HOG1	CWP1	YKL096W	Cell wall protein CWP1 precursor	3.92322
HOG1	YLR113W	Mitogen-activated protein kinase HOG1	DDR2	YOL052C-A	Protein DDR2 precursor	3.92322
SNF1	YDR477W	Carbon catabolite-derepressing protein kinase	FBP1	YLR377C	Fructose-1,6-bisphosphatase	3.92322
TPK2	YPL203W	cAMP-dependent protein kinase type 2	FET3	YMR058W	Iron transport multicopper oxidase FET3 precursor	3.92322
TPK2	YPL203W	cAMP-dependent protein kinase type 2	FTR1	YER145C	Plasma membrane iron permease	3.92322
BCK1	YJL095W	Serine/threonine-protein kinase BCK1/SLK1/SSP31	GIC1	YHR061C	GTPase-interacting component 1	3.92322
SNF1	YDR477W	Carbon catabolite-derepressing protein kinase	HIS1	YER055C	ATP phosphoribosyltransferase	3.92322
SNF1	YDR477W	Carbon catabolite-derepressing protein kinase	HIS4	YCL030C	Histidine biosynthesis trifunctional protein	3.92322
PBS2	YJL128C	MAP kinase kinase PBS2	HSP12	YFL014W	12 kDa heat shock protein	3.92322
SLT2	YHR030C	Mitogen-activated protein kinase SLT2/MPK1	HSP150	YJL159W	Cell wall mannoprotein HSP150 precursor	3.92322
TPK2	YPL203W	cAMP-dependent protein kinase type 2	HSP26	YBR072W	Heat shock protein 26	3.92322
HOG1	YLR113W	Mitogen-activated protein kinase HOG1	KDX1	YKL161C	Serine/threonine-protein kinase KDX1	3.92322
TPK2	YPL203W	cAMP-dependent protein kinase type 2	FLO11	YIR019C	Flocculation protein FLO11 precursor	3.92322
TPK2	YPL203W	cAMP-dependent protein kinase type 2	NTH1	YDR001C	Neutral trehalase	3.92322
SLT2	YHR030C	Mitogen-activated protein kinase SLT2/MPK1	PIR3	YKL163W	Cell wall mannoprotein PIR3 precursor	3.92322
SLT2	YHR030C	Mitogen-activated protein kinase SLT2/MPK1	PST1	YDR055W	Cell wall mannoprotein PST1 precursor	3.92322
HOG1	YLR113W	Mitogen-activated protein kinase HOG1	SED1	YDR077W	Cell wall protein SED1 precursor	3.92322
TPK2	YPL203W	cAMP-dependent protein kinase type 2	SIT1	YEL065W	Siderophore iron transporter 1	3.92322
SLT2	YHR030C	Mitogen-activated protein kinase SLT2/MPK1	YGP1	YNL160W	Protein YGP1 precursor	3.92322
SLT2	YHR030C	Mitogen-activated protein kinase SLT2/MPK1	NA	YNL058C	Vacuolar membrane protein YNL058C	3.92322
HAL5	YJL165C	Serine/threonine-protein kinase HAL5	SIS2	YKR072C	Phosphopantothenoylcysteine decarboxylase subunit SIS2	3.908055
CLA4	YNL298W	Serine/threonine-protein kinase CLA4	NA	YMR295C	Uncharacterized protein YMR295C	3.89441
ELM1	YKL048C	Serine/threonine-protein kinase ELM1	SHS1	YDL225W	Seventh homolog of septin 1	3.879606
KIN28	YDL108W	Serine/threonine-protein kinase KIN28	ABD1	YBR236C	mRNA cap guanine-N7 methyltransferase	3.87486
HOG1	YLR113W	Mitogen-activated protein kinase HOG1	CIN5	YOR028C	AP-1-like transcription factor YAP4	3.87486
MKK1	YOR231W	MAP kinase kinase MKK1/SSP32	FKS1	YLR342W	1,3-beta-glucan synthase component FKS1	3.87486
HOG1	YLR113W	Mitogen-activated protein kinase HOG1	GLO1	YML004C	Lactoylglutathione lyase	3.87486
HOG1	YLR113W	Mitogen-activated protein kinase HOG1	GRE3	YHR104W	NADPH-dependent aldose reductase GRE3 {ECO:0000305|PubMed:11525399}	3.87486
SLT2	YHR030C	Mitogen-activated protein kinase SLT2/MPK1	MCK1	YNL307C	Protein kinase MCK1	3.87486
DUN1	YDL101C	DNA damage response protein kinase DUN1	RNR1	YER070W	Ribonucleoside-diphosphate reductase large chain 1	3.87486
TOR2	YKL203C	Serine/threonine-protein kinase TOR2	ROM2	YLR371W	RHO1 GDP-GTP exchange protein 2	3.87486
CBK1	YNL161W	Serine/threonine-protein kinase CBK1	SIM1	YIL123W	Probable secreted beta-glucosidase SIM1 precursor	3.87486
SLN1	YIL147C	Osmosensing histidine protein kinase SLN1	SSK2	YNR031C	MAP kinase kinase kinase SSK2	3.874151
KSS1	YGR040W	Mitogen-activated protein kinase KSS1	CAF16	YFL028C	CCR4-associated factor 16	3.8698682
KSS1	YGR040W	Mitogen-activated protein kinase KSS1	NBA1	YOL070C	Protein NBA1	3.8698682
KSS1	YGR040W	Mitogen-activated protein kinase KSS1	NSL1	YPL233W	Kinetochore-associated protein NSL1	3.8698682
KSS1	YGR040W	Mitogen-activated protein kinase KSS1	POF1	YCL047C	Nicotinamide mononucleotide adenylyltransferase {ECO:0000303|PubMed:24759102}	3.8698682
KSS1	YGR040W	Mitogen-activated protein kinase KSS1	PTC1	YDL006W	Protein phosphatase 2C homolog 1	3.8698682
CKA2	YOR061W	Casein kinase II subunit alpha'	CKB1	YGL019W	Casein kinase II subunit beta	3.865079
FRK1	YPL141C	Fatty acyl-CoA synthetase and RNA processing-associated kinase 1	HSP82	YPL240C	ATP-dependent molecular chaperone HSP82	3.865079
CLA4	YNL298W	Serine/threonine-protein kinase CLA4	NBP2	YDR162C	NAP1-binding protein 2	3.865079
SWE1	YJL187C	Mitosis inhibitor protein kinase SWE1	CDC11	YJR076C	Cell division control protein 11	3.86447
SNF1	YDR477W	Carbon catabolite-derepressing protein kinase	ELM1	YKL048C	Serine/threonine-protein kinase ELM1	3.86447
CLA4	YNL298W	Serine/threonine-protein kinase CLA4	MAD2	YJL030W	Mitotic spindle checkpoint component MAD2	3.84605
BCK1	YJL095W	Serine/threonine-protein kinase BCK1/SLK1/SSP31	GAS1	YMR307W	1,3-beta-glucanosyltransferase GAS1 precursor	3.84567
SWE1	YJL187C	Mitosis inhibitor protein kinase SWE1	CDC24	YAL041W	Cell division control protein 24	3.845369
SNF1	YDR477W	Carbon catabolite-derepressing protein kinase	SIT4	YDL047W	Serine/threonine-protein phosphatase PP1-1	3.835448
RAD53	YPL153C	Serine/threonine-protein kinase RAD53	BMH2	YDR099W	Protein BMH2	3.83106
CDC5	YMR001C	Cell cycle serine/threonine-protein kinase CDC5/MSD2	CNM67	YNL225C	Chaotic nuclear migration protein 67	3.83106
CDC5	YMR001C	Cell cycle serine/threonine-protein kinase CDC5/MSD2	ESP1	YGR098C	Separin	3.83106
SSK2	YNR031C	MAP kinase kinase kinase SSK2	SPA2	YLL021W	Protein SPA2	3.83106
SLT2	YHR030C	Mitogen-activated protein kinase SLT2/MPK1	CHS3	YBR023C	Chitin synthase 3 {ECO:0000303|PubMed:2050737}	3.812569
CLA4	YNL298W	Serine/threonine-protein kinase CLA4	SLT2	YHR030C	Mitogen-activated protein kinase SLT2/MPK1	3.812569
DUN1	YDL101C	DNA damage response protein kinase DUN1	RAD55	YDR076W	DNA repair protein RAD55	3.801104
SLT2	YHR030C	Mitogen-activated protein kinase SLT2/MPK1	SMY1	YKL079W	Kinesin-related protein SMY1	3.783759
CDC5	YMR001C	Cell cycle serine/threonine-protein kinase CDC5/MSD2	CDC37	YDR168W	Hsp90 co-chaperone Cdc37	3.78111
CAK1	YFL029C	Serine/threonine-protein kinase CAK1	CDC37	YDR168W	Hsp90 co-chaperone Cdc37	3.78111
CDC7	YDL017W	Cell division control protein 7	CDC37	YDR168W	Hsp90 co-chaperone Cdc37	3.78111
PHO85	YPL031C	Cyclin-dependent protein kinase PHO85	CLN1	YMR199W	G1/S-specific cyclin CLN1	3.78111
HOG1	YLR113W	Mitogen-activated protein kinase HOG1	HSP82	YPL240C	ATP-dependent molecular chaperone HSP82	3.78111
PKH1	YDR490C	Serine/threonine-protein kinase PKH1	MYO5	YMR109W	Myosin-5	3.78111
PKH2	YOL100W	Serine/threonine-protein kinase PKH2	MYO5	YMR109W	Myosin-5	3.78111
STE20	YHL007C	Serine/threonine-protein kinase STE20	NCP1	YHR042W	NADPH--cytochrome P450 reductase {ECO:0000255|HAMAP-Rule:MF_03212}	3.78111
TPK2	YPL203W	cAMP-dependent protein kinase type 2	NOT3	YIL038C	General negative regulator of transcription subunit 3	3.78111
DUN1	YDL101C	DNA damage response protein kinase DUN1	PAN3	YKL025C	PAB-dependent poly(A)-specific ribonuclease subunit PAN3 {ECO:0000255|HAMAP-Rule:MF_03181}	3.78111
YCK1	YHR135C	Casein kinase I homolog 1	APL6	YGR261C	AP-3 complex subunit beta	3.7628
BCK1	YJL095W	Serine/threonine-protein kinase BCK1/SLK1/SSP31	ROM2	YLR371W	RHO1 GDP-GTP exchange protein 2	3.746051
BCK1	YJL095W	Serine/threonine-protein kinase BCK1/SLK1/SSP31	MYO5	YMR109W	Myosin-5	3.72695
SLT2	YHR030C	Mitogen-activated protein kinase SLT2/MPK1	CCW12	YLR110C	Covalently-linked cell wall protein 12 precursor	3.705619
HOG1	YLR113W	Mitogen-activated protein kinase HOG1	HBT1	YDL223C	Protein HBT1	3.705619
SLT2	YHR030C	Mitogen-activated protein kinase SLT2/MPK1	PIR1	YKL164C	Cell wall mannoprotein PIR1 precursor	3.705619
SLT2	YHR030C	Mitogen-activated protein kinase SLT2/MPK1	NA	YLR194C	Cell wall protein YLR194C precursor	3.705619
RAD53	YPL153C	Serine/threonine-protein kinase RAD53	RNR3	YIL066C	Ribonucleoside-diphosphate reductase large chain 2	3.69985
MEC1	YBR136W	Serine/threonine-protein kinase MEC1	RNR3	YIL066C	Ribonucleoside-diphosphate reductase large chain 2	3.69985
DUN1	YDL101C	DNA damage response protein kinase DUN1	RNR3	YIL066C	Ribonucleoside-diphosphate reductase large chain 2	3.69985
CKA1	YIL035C	Casein kinase II subunit alpha	BCY1	YIL033C	cAMP-dependent protein kinase regulatory subunit	3.67556
KIN2	YLR096W	Serine/threonine-protein kinase KIN2	CDC28	YBR160W	Cyclin-dependent kinase 1	3.67556
YPK2	YMR104C	Serine/threonine-protein kinase YPK2/YKR2	CDC33	YOL139C	Eukaryotic translation initiation factor 4E	3.67556
RIO1	YOR119C	Serine/threonine-protein kinase RIO1	CKB1	YGL019W	Casein kinase II subunit beta	3.67556
SNF1	YDR477W	Carbon catabolite-derepressing protein kinase	CPA2	YJR109C	Carbamoyl-phosphate synthase arginine-specific large chain	3.67556
SLT2	YHR030C	Mitogen-activated protein kinase SLT2/MPK1	DIG1	YPL049C	Down-regulator of invasive growth 1	3.67556
CKA2	YOR061W	Casein kinase II subunit alpha'	ESF1	YDR365C	Pre-rRNA-processing protein ESF1	3.67556
SNF1	YDR477W	Carbon catabolite-derepressing protein kinase	FAS2	YPL231W	Fatty acid synthase subunit alpha	3.67556
HSL1	YKL101W	Probable serine/threonine-protein kinase HSL1	GCN2	YDR283C	eIF-2-alpha kinase GCN2 {ECO:0000250|UniProtKB:Q9HGN1}	3.67556
TPK3	YKL166C	cAMP-dependent protein kinase type 3	GIP2	YER054C	GLC7-interacting protein 2	3.67556
FUS3	YBL016W	Mitogen-activated protein kinase FUS3	NET1	YJL076W	Nucleolar protein NET1	3.67556
SNF1	YDR477W	Carbon catabolite-derepressing protein kinase	NPR1	YNL183C	Nitrogen permease reactivator protein	3.67556
HRR25	YPL204W	Casein kinase I homolog HRR25	PIN4	YBL051C	RNA-binding protein PIN4	3.67556
SNF1	YDR477W	Carbon catabolite-derepressing protein kinase	PRB1	YEL060C	Cerevisin precursor	3.67556
BUD32	YGR262C	EKC/KEOPS complex subunit BUD32	RPN1	YHR027C	26S proteasome regulatory subunit RPN1	3.67556
CDC28	YBR160W	Cyclin-dependent kinase 1	RPN1	YHR027C	26S proteasome regulatory subunit RPN1	3.67556
CKA2	YOR061W	Casein kinase II subunit alpha'	SEC31	YDL195W	Protein transport protein SEC31	3.67556
PHO85	YPL031C	Cyclin-dependent protein kinase PHO85	SOD1	YJR104C	Superoxide dismutase [Cu-Zn]	3.67556
PSK1	YAL017W	Serine/threonine-protein kinase PSK1	UGP1	YKL035W	UTP--glucose-1-phosphate uridylyltransferase	3.67556
