gene_name_a	oln_id_a	gene_description_a	gene_name_b	oln_id_b	gene_description_b	type_of_interaction
DST1	YGL043W	Transcription elongation factor S-II	SPT8	YLR055C	Transcription factor SPT8	p
DST1	YGL043W	Transcription elongation factor S-II	RPO21	YDL140C	DNA-directed RNA polymerase II subunit RPB1	p
DST1	YGL043W	Transcription elongation factor S-II	RPB9	YGL070C	DNA-directed RNA polymerase II subunit RPB9	p
DST1	YGL043W	Transcription elongation factor S-II	RPB2	YOR151C	DNA-directed RNA polymerase II subunit RPB2	p
DST1	YGL043W	Transcription elongation factor S-II	CMD1	YBR109C	Calmodulin	p
RNA15	YGL044C	mRNA 3'-end-processing protein RNA15	TFC4	YGR047C	Transcription factor tau 131 kDa subunit	p
RNA15	YGL044C	mRNA 3'-end-processing protein RNA15	REB1	YBR049C	DNA-binding protein REB1	tu
RNA15	YGL044C	mRNA 3'-end-processing protein RNA15	RPO21	YDL140C	DNA-directed RNA polymerase II subunit RPB1	p
RNA15	YGL044C	mRNA 3'-end-processing protein RNA15	CFT1	YDR301W	Protein CFT1	p
RNA15	YGL044C	mRNA 3'-end-processing protein RNA15	PAB1	YER165W	Polyadenylate-binding protein, cytoplasmic and nuclear	p
RNA15	YGL044C	mRNA 3'-end-processing protein RNA15	RNA14	YMR061W	mRNA 3'-end-processing protein RNA14	p
RNA15	YGL044C	mRNA 3'-end-processing protein RNA15	CLP1	YOR250C	mRNA cleavage and polyadenylation factor CLP1 {ECO:0000255|HAMAP-Rule:MF_03035}	p
ALG13	YGL047W	UDP-N-acetylglucosamine transferase subunit ALG13	ALG7	YBR243C	UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase	p
RPT6	YGL048C	26S protease regulatory subunit 8 homolog	RPT2	YDL007W	26S protease regulatory subunit 4 homolog	p
RPT6	YGL048C	26S protease regulatory subunit 8 homolog	RPN5	YDL147W	26S proteasome regulatory subunit RPN5	p
RPT6	YGL048C	26S protease regulatory subunit 8 homolog	RPT3	YDR394W	26S protease regulatory subunit 6B homolog	p
RPT6	YGL048C	26S protease regulatory subunit 8 homolog	RPN9	YDR427W	26S proteasome regulatory subunit RPN9	p
RPT6	YGL048C	26S protease regulatory subunit 8 homolog	RAD23	YEL037C	UV excision repair protein RAD23	p
RPT6	YGL048C	26S protease regulatory subunit 8 homolog	PRE1	YER012W	Proteasome subunit beta type-4	p
RPT6	YGL048C	26S protease regulatory subunit 8 homolog	RPN11	YFR004W	Ubiquitin carboxyl-terminal hydrolase RPN11	p
RPT6	YGL048C	26S protease regulatory subunit 8 homolog	UBP6	YFR010W	Ubiquitin carboxyl-terminal hydrolase 6	p
RPT6	YGL048C	26S protease regulatory subunit 8 homolog	RPN1	YHR027C	26S proteasome regulatory subunit RPN1	p
RPT6	YGL048C	26S protease regulatory subunit 8 homolog	RPN10	YHR200W	26S proteasome regulatory subunit RPN10	p
RPT6	YGL048C	26S protease regulatory subunit 8 homolog	RPN2	YIL075C	26S proteasome regulatory subunit RPN2	p
RPT6	YGL048C	26S protease regulatory subunit 8 homolog	RPT1	YKL145W	26S protease regulatory subunit 7 homolog	p
RPT6	YGL048C	26S protease regulatory subunit 8 homolog	RPT4	YOR259C	26S protease subunit RPT4	p
RPT6	YGL048C	26S protease regulatory subunit 8 homolog	SPT7	YBR081C	Transcriptional activator SPT7	p
RPT6	YGL048C	26S protease regulatory subunit 8 homolog	TAF5	YBR198C	Transcription initiation factor TFIID subunit 5	p
RPT6	YGL048C	26S protease regulatory subunit 8 homolog	SPT15	YER148W	TATA-box-binding protein	p
RPT6	YGL048C	26S protease regulatory subunit 8 homolog	PHO4	YFR034C	Phosphate system positive regulatory protein PHO4	p
RPT6	YGL048C	26S protease regulatory subunit 8 homolog	HSM3	YBR272C	DNA mismatch repair protein HSM3	p
RPT6	YGL048C	26S protease regulatory subunit 8 homolog	NAS6	YGR232W	Probable 26S proteasome regulatory subunit p28	p
RPT6	YGL048C	26S protease regulatory subunit 8 homolog	RPN13	YLR421C	26S proteasome regulatory subunit RPN13	p
RPT6	YGL048C	26S protease regulatory subunit 8 homolog	RPT5	YOR117W	26S protease regulatory subunit 6A	p
RPT6	YGL048C	26S protease regulatory subunit 8 homolog	RPN7	YPR108W	26S proteasome regulatory subunit RPN7	p
RPT6	YGL048C	26S protease regulatory subunit 8 homolog	RPN4	YDL020C	Protein RPN4	tu
RPT6	YGL048C	26S protease regulatory subunit 8 homolog	SEM1	YDR363W-A	26S proteasome complex subunit SEM1	p
RPT6	YGL048C	26S protease regulatory subunit 8 homolog	RPN14	YGL004C	26S proteasome regulatory subunit RPN14	p
RPT6	YGL048C	26S protease regulatory subunit 8 homolog	ECM29	YHL030W	Proteasome component ECM29	p
RPT6	YGL048C	26S protease regulatory subunit 8 homolog	NAS2	YIL007C	Probable 26S proteasome regulatory subunit p27	p
RPT6	YGL048C	26S protease regulatory subunit 8 homolog	BLM10	YFL007W	Proteasome activator BLM10	p
RAD6	YGL058W	Ubiquitin-conjugating enzyme E2 2	HTB1	YDR224C	Histone H2B.1	p
RAD6	YGL058W	Ubiquitin-conjugating enzyme E2 2	CUE4	YML101C	CUE domain-containing protein CUE4	p
RAD6	YGL058W	Ubiquitin-conjugating enzyme E2 2	RPO21	YDL140C	DNA-directed RNA polymerase II subunit RPB1	p
RAD6	YGL058W	Ubiquitin-conjugating enzyme E2 2	UBI4	YLL039C	Polyubiquitin precursor	p
YBP2	YGL060W	YAP1-binding protein 2 {ECO:0000303|PubMed:15075262}	LSB3	YFR024C-A	LAS seventeen-binding protein 3	p
YBP2	YGL060W	YAP1-binding protein 2 {ECO:0000303|PubMed:15075262}	YSC84	YHR016C	Protein YSC84	p
YBP2	YGL060W	YAP1-binding protein 2 {ECO:0000303|PubMed:15075262}	PEX13	YLR191W	Peroxisomal membrane protein PAS20	p
YBP2	YGL060W	YAP1-binding protein 2 {ECO:0000303|PubMed:15075262}	HOF1	YMR032W	Cytokinesis protein 2	p
DUO1	YGL061C	DASH complex subunit DUO1	SPC19	YDR201W	DASH complex subunit SPC19	p
DUO1	YGL061C	DASH complex subunit DUO1	DAD4	YDR320C-A	DASH complex subunit DAD4	p
DUO1	YGL061C	DASH complex subunit DUO1	DAM1	YGR113W	DASH complex subunit DAM1	p
DUO1	YGL061C	DASH complex subunit DUO1	DSN1	YIR010W	Kinetochore-associated protein DSN1	p
DUO1	YGL061C	DASH complex subunit DUO1	ASK1	YKL052C	DASH complex subunit ASK1	p
DUO1	YGL061C	DASH complex subunit DUO1	HSK3	YKL138C-A	DASH complex subunit HSK3	p
DUO1	YGL061C	DASH complex subunit DUO1	SPC34	YKR037C	DASH complex subunit SPC34	p
DUO1	YGL061C	DASH complex subunit DUO1	DAD2	YKR083C	DASH complex subunit DAD2	p
DUO1	YGL061C	DASH complex subunit DUO1	DAD1	YDR016C	DASH complex subunit DAD1	p
PYC1	YGL062W	Pyruvate carboxylase 1	ADA2	YDR448W	Transcriptional adapter 2	tu
PYC1	YGL062W	Pyruvate carboxylase 1	RSP5	YER125W	E3 ubiquitin-protein ligase RSP5	p
PYC1	YGL062W	Pyruvate carboxylase 1	RPN4	YDL020C	Protein RPN4	tu
SGF73	YGL066W	SAGA-associated factor 73	ADA2	YDR448W	Transcriptional adapter 2	p
SGF73	YGL066W	SAGA-associated factor 73	HHT1	YBR010W	Histone H3	p
SGF73	YGL066W	SAGA-associated factor 73	SPT7	YBR081C	Transcriptional activator SPT7	p
SGF73	YGL066W	SAGA-associated factor 73	SUS1	YBR111W-A	Transcription and mRNA export factor SUS1 {ECO:0000255|HAMAP-Rule:MF_03046}	p
SGF73	YGL066W	SAGA-associated factor 73	TAF5	YBR198C	Transcription initiation factor TFIID subunit 5	p
SGF73	YGL066W	SAGA-associated factor 73	SGF29	YCL010C	SAGA-associated factor 29	p
SGF73	YGL066W	SAGA-associated factor 73	TAF12	YDR145W	Transcription initiation factor TFIID subunit 12	p
SGF73	YGL066W	SAGA-associated factor 73	TAF6	YGL112C	Transcription initiation factor TFIID subunit 6	p
SGF73	YGL066W	SAGA-associated factor 73	GCN5	YGR252W	Histone acetyltransferase GCN5	p
SGF73	YGL066W	SAGA-associated factor 73	TRA1	YHR099W	Transcription-associated protein 1	p
SGF73	YGL066W	SAGA-associated factor 73	SPT8	YLR055C	Transcription factor SPT8	p
SGF73	YGL066W	SAGA-associated factor 73	UBP8	YMR223W	Ubiquitin carboxyl-terminal hydrolase 8	p
SGF73	YGL066W	SAGA-associated factor 73	TAF9	YMR236W	Transcription initiation factor TFIID subunit 9	p
SGF73	YGL066W	SAGA-associated factor 73	SPT20	YOL148C	Transcription factor SPT20	p
SGF73	YGL066W	SAGA-associated factor 73	SGF11	YPL047W	SAGA-associated factor 11 {ECO:0000255|HAMAP-Rule:MF_03047}	p
SGF73	YGL066W	SAGA-associated factor 73	HFI1	YPL254W	Transcriptional coactivator HFI1/ADA1	p
SGF73	YGL066W	SAGA-associated factor 73	HTB1	YDR224C	Histone H2B.1	p
SGF73	YGL066W	SAGA-associated factor 73	HHT2	YNL031C	Histone H3	p
AFT1	YGL071W	Iron-regulated transcriptional activator AFT1	GCR1	YPL075W	Glycolytic genes transcriptional activator GCR1	td
AFT1	YGL071W	Iron-regulated transcriptional activator AFT1	AAC1	YMR056C	ADP,ATP carrier protein 1	td
AFT1	YGL071W	Iron-regulated transcriptional activator AFT1	ALP1	YNL270C	Basic amino-acid permease	td
AFT1	YGL071W	Iron-regulated transcriptional activator AFT1	NA	YOR019W	Uncharacterized protein YOR019W	td
AFT1	YGL071W	Iron-regulated transcriptional activator AFT1	FAA1	YOR317W	Long-chain-fatty-acid--CoA ligase 1	td
AFT1	YGL071W	Iron-regulated transcriptional activator AFT1	CTF19	YPL018W	Central kinetochore subunit CTF19	td
HSF1	YGL073W	Heat shock factor protein	RPN4	YDL020C	Protein RPN4	td
HSF1	YGL073W	Heat shock factor protein	SSA1	YAL005C	Heat shock protein SSA1	td
HSF1	YGL073W	Heat shock factor protein	SSA2	YLL024C	Heat shock protein SSA2	td
HSF1	YGL073W	Heat shock factor protein	HSP82	YPL240C	ATP-dependent molecular chaperone HSP82	td
HSF1	YGL073W	Heat shock factor protein	UBI4	YLL039C	Polyubiquitin precursor	td
HSF1	YGL073W	Heat shock factor protein	CDC6	YJL194W	Cell division control protein 6	p
HSF1	YGL073W	Heat shock factor protein	SKN7	YHR206W	Transcription factor SKN7	p
HSF1	YGL073W	Heat shock factor protein	STI1	YOR027W	Heat shock protein STI1	td
HSF1	YGL073W	Heat shock factor protein	SNF1	YDR477W	Carbon catabolite-derepressing protein kinase	ku
HSF1	YGL073W	Heat shock factor protein	SNF1	YDR477W	Carbon catabolite-derepressing protein kinase	p
HSF1	YGL073W	Heat shock factor protein	HHF1	YBR009C	Histone H4	td
HSF1	YGL073W	Heat shock factor protein	HHT1	YBR010W	Histone H3	td
HSF1	YGL073W	Heat shock factor protein	RPL25	YOL127W	60S ribosomal protein L25	td
HSF1	YGL073W	Heat shock factor protein	KAR2	YJL034W	78 kDa glucose-regulated protein homolog precursor	td
HSF1	YGL073W	Heat shock factor protein	ERO1	YML130C	Endoplasmic oxidoreductin-1 precursor	td
HSF1	YGL073W	Heat shock factor protein	TYE7	YOR344C	Serine-rich protein TYE7	td
HNM1	YGL077C	Choline transport protein	TCB3	YML072C	Tricalbin-3	p
DBP3	YGL078C	ATP-dependent RNA helicase DBP3	GAR1	YHR089C	H/ACA ribonucleoprotein complex subunit 1	p
KXD1	YGL079W	Biogenesis of lysosome-related organelles complex 1 subunit KXD1	PHO4	YFR034C	Phosphate system positive regulatory protein PHO4	tu
GUP1	YGL084C	Glycerol uptake protein 1	RAP1	YNL216W	DNA-binding protein RAP1	tu
MAD1	YGL086W	Spindle assembly checkpoint component MAD1	REB1	YBR049C	DNA-binding protein REB1	tu
MAD1	YGL086W	Spindle assembly checkpoint component MAD1	BUB1	YGR188C	Checkpoint serine/threonine-protein kinase BUB1	ku
MAD1	YGL086W	Spindle assembly checkpoint component MAD1	BUB1	YGR188C	Checkpoint serine/threonine-protein kinase BUB1	p
MAD1	YGL086W	Spindle assembly checkpoint component MAD1	MAD2	YJL030W	Mitotic spindle checkpoint component MAD2	p
MAD1	YGL086W	Spindle assembly checkpoint component MAD1	BUB3	YOR026W	Cell cycle arrest protein BUB3	p
MAD1	YGL086W	Spindle assembly checkpoint component MAD1	MPS1	YDL028C	Serine/threonine-protein kinase MPS1	ku
MAD1	YGL086W	Spindle assembly checkpoint component MAD1	CDC14	YFR028C	Tyrosine-protein phosphatase CDC14	p
MAD1	YGL086W	Spindle assembly checkpoint component MAD1	NUP60	YAR002W	Nucleoporin NUP60	p
NUP145	YGL092W	Nucleoporin NUP145 precursor	PSE1	YMR308C	Importin subunit beta-3 {ECO:0000305}	p
NUP145	YGL092W	Nucleoporin NUP145 precursor	UBI4	YLL039C	Polyubiquitin precursor	p
NUP145	YGL092W	Nucleoporin NUP145 precursor	KAP95	YLR347C	Importin subunit beta-1 {ECO:0000303|PubMed:9321403}	p
NUP145	YGL092W	Nucleoporin NUP145 precursor	NUP116	YMR047C	Nucleoporin NUP116/NSP116	p
NUP145	YGL092W	Nucleoporin NUP145 precursor	MEX67	YPL169C	mRNA export factor MEX67	p
NUP145	YGL092W	Nucleoporin NUP145 precursor	FKH1	YIL131C	Fork head protein homolog 1	tu
NUP145	YGL092W	Nucleoporin NUP145 precursor	NUP170	YBL079W	Nucleoporin NUP170	p
NUP145	YGL092W	Nucleoporin NUP145 precursor	GLE1	YDL207W	Nucleoporin GLE1	p
NUP145	YGL092W	Nucleoporin NUP145 precursor	NUP42	YDR192C	Nucleoporin NUP42	p
NUP145	YGL092W	Nucleoporin NUP145 precursor	NUP157	YER105C	Nucleoporin NUP157	p
NUP145	YGL092W	Nucleoporin NUP145 precursor	SEH1	YGL100W	Nucleoporin SEH1	p
NUP145	YGL092W	Nucleoporin NUP145 precursor	NUP49	YGL172W	Nucleoporin NUP49/NSP49	p
NUP145	YGL092W	Nucleoporin NUP145 precursor	NUP57	YGR119C	Nucleoporin NUP57	p
NUP145	YGL092W	Nucleoporin NUP145 precursor	NUP85	YJR042W	Nucleoporin NUP85	p
NUP145	YGL092W	Nucleoporin NUP145 precursor	NUP120	YKL057C	Nucleoporin NUP120	p
NUP145	YGL092W	Nucleoporin NUP145 precursor	NUP100	YKL068W	Nucleoporin NUP100/NSP100	p
NUP145	YGL092W	Nucleoporin NUP145 precursor	NUP133	YKR082W	Nucleoporin NUP133	p
NUP145	YGL092W	Nucleoporin NUP145 precursor	SEC13	YLR208W	Protein transport protein SEC13	p
NUP145	YGL092W	Nucleoporin NUP145 precursor	NUP53	YMR153W	Nucleoporin NUP53	p
NUP145	YGL092W	Nucleoporin NUP145 precursor	KAP104	YBR017C	Importin subunit beta-2 {ECO:0000250|UniProtKB:Q92973}	p
NUP145	YGL092W	Nucleoporin NUP145 precursor	NUP84	YDL116W	Nucleoporin NUP84	p
NUP145	YGL092W	Nucleoporin NUP145 precursor	ULP1	YPL020C	Ubiquitin-like-specific protease 1	p
SPC105	YGL093W	Spindle pole body component SPC105	DSN1	YIR010W	Kinetochore-associated protein DSN1	p
SPC105	YGL093W	Spindle pole body component SPC105	DYN1	YKR054C	Dynein heavy chain, cytoplasmic	p
SPC105	YGL093W	Spindle pole body component SPC105	NUF2	YOL069W	Kinetochore protein NUF2	p
SPC105	YGL093W	Spindle pole body component SPC105	DAD2	YKR083C	DASH complex subunit DAD2	p
SPC105	YGL093W	Spindle pole body component SPC105	FIN1	YDR130C	Filament protein FIN1	p
SPC105	YGL093W	Spindle pole body component SPC105	NKP2	YLR315W	Central kinetochore subunit NKP2	p
SPC105	YGL093W	Spindle pole body component SPC105	MTW1	YAL034W-A	Kinetochore-associated protein MTW1	p
SPC105	YGL093W	Spindle pole body component SPC105	NSL1	YPL233W	Kinetochore-associated protein NSL1	p
SPC105	YGL093W	Spindle pole body component SPC105	NNF1	YJR112W	Kinetochore-associated protein NNF1	p
SPC105	YGL093W	Spindle pole body component SPC105	SPC24	YMR117C	Kinetochore protein SPC24	p
PAN2	YGL094C	PAB-dependent poly(A)-specific ribonuclease subunit PAN2 {ECO:0000255|HAMAP-Rule:MF_03182}	PAN1	YIR006C	Actin cytoskeleton-regulatory complex protein PAN1	p
VPS45	YGL095C	Vacuolar protein sorting-associated protein 45	TLG1	YDR468C	T-SNARE affecting a late Golgi compartment protein 1	p
VPS45	YGL095C	Vacuolar protein sorting-associated protein 45	TLG2	YOL018C	T-SNARE affecting a late Golgi compartment protein 2	p
VPS45	YGL095C	Vacuolar protein sorting-associated protein 45	PEP12	YOR036W	Syntaxin PEP12	p
SRM1	YGL097W	Guanine nucleotide exchange factor SRM1	HHT1	YBR010W	Histone H3	p
SRM1	YGL097W	Guanine nucleotide exchange factor SRM1	CDC28	YBR160W	Cyclin-dependent kinase 1	ku
SRM1	YGL097W	Guanine nucleotide exchange factor SRM1	CDC28	YBR160W	Cyclin-dependent kinase 1	p
SRM1	YGL097W	Guanine nucleotide exchange factor SRM1	GSP1	YLR293C	GTP-binding nuclear protein GSP1/CNR1	p
SRM1	YGL097W	Guanine nucleotide exchange factor SRM1	NUP2	YLR335W	Nucleoporin NUP2	p
SRM1	YGL097W	Guanine nucleotide exchange factor SRM1	HHT2	YNL031C	Histone H3	p
SRM1	YGL097W	Guanine nucleotide exchange factor SRM1	SRP1	YNL189W	Importin subunit alpha	p
SRM1	YGL097W	Guanine nucleotide exchange factor SRM1	REB1	YBR049C	DNA-binding protein REB1	tu
SRM1	YGL097W	Guanine nucleotide exchange factor SRM1	HTA1	YDR225W	Histone H2A.1	p
SRM1	YGL097W	Guanine nucleotide exchange factor SRM1	HHF2	YNL030W	Histone H4	p
USE1	YGL098W	Protein transport protein USE1	AFT1	YGL071W	Iron-regulated transcriptional activator AFT1	tu
USE1	YGL098W	Protein transport protein USE1	SEC22	YLR268W	Protein transport protein SEC22	p
USE1	YGL098W	Protein transport protein USE1	DSL1	YNL258C	Protein transport protein DSL1	p
LSG1	YGL099W	Large subunit GTPase 1	ARX1	YDR101C	Probable metalloprotease ARX1	p
LSG1	YGL099W	Large subunit GTPase 1	NMD3	YHR170W	60S ribosomal export protein NMD3	p
LSG1	YGL099W	Large subunit GTPase 1	YVH1	YIR026C	Tyrosine-protein phosphatase YVH1	p
LSG1	YGL099W	Large subunit GTPase 1	ALB1	YJL122W	Ribosome biogenesis protein ALB1	p
LSG1	YGL099W	Large subunit GTPase 1	TIF6	YPR016C	Eukaryotic translation initiation factor 6 {ECO:0000255|HAMAP-Rule:MF_03132}	p
SEH1	YGL100W	Nucleoporin SEH1	FHL1	YPR104C	Pre-rRNA-processing protein FHL1	tu
RPL28	YGL103W	60S ribosomal protein L28	RAP1	YNL216W	DNA-binding protein RAP1	tu
RPL28	YGL103W	60S ribosomal protein L28	FHL1	YPR104C	Pre-rRNA-processing protein FHL1	tu
ARC1	YGL105W	tRNA-aminoacylation cofactor ARC1	ABF1	YKL112W	ARS-binding factor 1	tu
ARC1	YGL105W	tRNA-aminoacylation cofactor ARC1	MES1	YGR264C	Methionine--tRNA ligase, cytoplasmic	p
ARC1	YGL105W	tRNA-aminoacylation cofactor ARC1	MGA2	YIR033W	Protein MGA2	p
ARC1	YGL105W	tRNA-aminoacylation cofactor ARC1	CAT8	YMR280C	Regulatory protein CAT8	p
TAF6	YGL112C	Transcription initiation factor TFIID subunit 6	HHT1	YBR010W	Histone H3	p
TAF6	YGL112C	Transcription initiation factor TFIID subunit 6	GAL4	YPL248C	Regulatory protein GAL4	p
TAF6	YGL112C	Transcription initiation factor TFIID subunit 6	ADA2	YDR448W	Transcriptional adapter 2	p
TAF6	YGL112C	Transcription initiation factor TFIID subunit 6	FKH1	YIL131C	Fork head protein homolog 1	tu
TAF6	YGL112C	Transcription initiation factor TFIID subunit 6	GCN4	YEL009C	General control protein GCN4	p
TAF6	YGL112C	Transcription initiation factor TFIID subunit 6	SPT7	YBR081C	Transcriptional activator SPT7	p
TAF6	YGL112C	Transcription initiation factor TFIID subunit 6	TAF5	YBR198C	Transcription initiation factor TFIID subunit 5	p
TAF6	YGL112C	Transcription initiation factor TFIID subunit 6	TAF2	YCR042C	Transcription initiation factor TFIID subunit 2	p
TAF6	YGL112C	Transcription initiation factor TFIID subunit 6	TAF12	YDR145W	Transcription initiation factor TFIID subunit 12	p
TAF6	YGL112C	Transcription initiation factor TFIID subunit 6	NGG1	YDR176W	Chromatin-remodeling complexes subunit NGG1	p
TAF6	YGL112C	Transcription initiation factor TFIID subunit 6	ADR1	YDR216W	Regulatory protein ADR1	p
TAF6	YGL112C	Transcription initiation factor TFIID subunit 6	SPT3	YDR392W	Protein SPT3	p
TAF6	YGL112C	Transcription initiation factor TFIID subunit 6	SPT15	YER148W	TATA-box-binding protein	p
TAF6	YGL112C	Transcription initiation factor TFIID subunit 6	GCN5	YGR252W	Histone acetyltransferase GCN5	p
TAF6	YGL112C	Transcription initiation factor TFIID subunit 6	TAF1	YGR274C	Transcription initiation factor TFIID subunit 1	p
TAF6	YGL112C	Transcription initiation factor TFIID subunit 6	TRA1	YHR099W	Transcription-associated protein 1	p
TAF6	YGL112C	Transcription initiation factor TFIID subunit 6	SPT8	YLR055C	Transcription factor SPT8	p
TAF6	YGL112C	Transcription initiation factor TFIID subunit 6	TAF11	YML015C	Transcription initiation factor TFIID subunit 11	p
TAF6	YGL112C	Transcription initiation factor TFIID subunit 6	TAF13	YML098W	Transcription initiation factor TFIID subunit 13	p
TAF6	YGL112C	Transcription initiation factor TFIID subunit 6	TAF8	YML114C	Transcription initiation factor TFIID subunit 8	p
TAF6	YGL112C	Transcription initiation factor TFIID subunit 6	TAF4	YMR005W	Transcription initiation factor TFIID subunit 4	p
TAF6	YGL112C	Transcription initiation factor TFIID subunit 6	UBP8	YMR223W	Ubiquitin carboxyl-terminal hydrolase 8	p
TAF6	YGL112C	Transcription initiation factor TFIID subunit 6	TAF7	YMR227C	Transcription initiation factor TFIID subunit 7	p
TAF6	YGL112C	Transcription initiation factor TFIID subunit 6	TAF9	YMR236W	Transcription initiation factor TFIID subunit 9	p
TAF6	YGL112C	Transcription initiation factor TFIID subunit 6	SPT20	YOL148C	Transcription factor SPT20	p
TAF6	YGL112C	Transcription initiation factor TFIID subunit 6	TAF3	YPL011C	Transcription initiation factor TFIID subunit 3	p
TAF6	YGL112C	Transcription initiation factor TFIID subunit 6	SGF11	YPL047W	SAGA-associated factor 11 {ECO:0000255|HAMAP-Rule:MF_03047}	p
TAF6	YGL112C	Transcription initiation factor TFIID subunit 6	TAF14	YPL129W	Transcription initiation factor TFIID subunit 14	p
TAF6	YGL112C	Transcription initiation factor TFIID subunit 6	HFI1	YPL254W	Transcriptional coactivator HFI1/ADA1	p
TAF6	YGL112C	Transcription initiation factor TFIID subunit 6	HEM13	YDR044W	Oxygen-dependent coproporphyrinogen-III oxidase	p
TAF6	YGL112C	Transcription initiation factor TFIID subunit 6	TAF10	YDR167W	Transcription initiation factor TFIID subunit 10	p
SLD3	YGL113W	DNA replication regulator SLD3	MCM2	YBL023C	DNA replication licensing factor MCM2	p
SLD3	YGL113W	DNA replication regulator SLD3	CDC45	YLR103C	Cell division control protein 45	p
SLD3	YGL113W	DNA replication regulator SLD3	CDC28	YBR160W	Cyclin-dependent kinase 1	ku
SLD3	YGL113W	DNA replication regulator SLD3	MCM7	YBR202W	DNA replication licensing factor MCM7	p
SLD3	YGL113W	DNA replication regulator SLD3	PSF1	YDR013W	DNA replication complex GINS protein PSF1	p
SLD3	YGL113W	DNA replication regulator SLD3	MCM3	YEL032W	DNA replication licensing factor MCM3	p
SLD3	YGL113W	DNA replication regulator SLD3	MCM6	YGL201C	DNA replication licensing factor MCM6	p
SLD3	YGL113W	DNA replication regulator SLD3	MCM5	YLR274W	Minichromosome maintenance protein 5	p
SLD3	YGL113W	DNA replication regulator SLD3	MCM4	YPR019W	DNA replication licensing factor MCM4	p
SLD3	YGL113W	DNA replication regulator SLD3	RAD53	YPL153C	Serine/threonine-protein kinase RAD53	p
SLD3	YGL113W	DNA replication regulator SLD3	DPB11	YJL090C	DNA replication regulator DPB11	p
NA	YGL114W	Putative oligopeptide transporter YGL114W	FKH2	YNL068C	Fork head protein homolog 2	tu
NA	YGL114W	Putative oligopeptide transporter YGL114W	NDD1	YOR372C	Nuclear division defective protein 1	tu
SNF4	YGL115W	5'-AMP-activated protein kinase subunit gamma	SNF1	YDR477W	Carbon catabolite-derepressing protein kinase	ku
SNF4	YGL115W	5'-AMP-activated protein kinase subunit gamma	SNF1	YDR477W	Carbon catabolite-derepressing protein kinase	p
SNF4	YGL115W	5'-AMP-activated protein kinase subunit gamma	RAP1	YNL216W	DNA-binding protein RAP1	tu
SNF4	YGL115W	5'-AMP-activated protein kinase subunit gamma	REG1	YDR028C	Resistance to glucose repression protein 1	p
SNF4	YGL115W	5'-AMP-activated protein kinase subunit gamma	GAL83	YER027C	SNF1 protein kinase subunit beta-3	p
SNF4	YGL115W	5'-AMP-activated protein kinase subunit gamma	TOS3	YGL179C	Serine/threonine-protein kinase TOS3	ku
SNF4	YGL115W	5'-AMP-activated protein kinase subunit gamma	CKA1	YIL035C	Casein kinase II subunit alpha	ku
CDC20	YGL116W	APC/C activator protein CDC20	CDC28	YBR160W	Cyclin-dependent kinase 1	ku
CDC20	YGL116W	APC/C activator protein CDC20	CDC28	YBR160W	Cyclin-dependent kinase 1	p
CDC20	YGL116W	APC/C activator protein CDC20	FKH2	YNL068C	Fork head protein homolog 2	tu
CDC20	YGL116W	APC/C activator protein CDC20	CLB2	YPR119W	G2/mitotic-specific cyclin-2	p
CDC20	YGL116W	APC/C activator protein CDC20	MCM1	YMR043W	Pheromone receptor transcription factor	tu
CDC20	YGL116W	APC/C activator protein CDC20	NDD1	YOR372C	Nuclear division defective protein 1	tu
CDC20	YGL116W	APC/C activator protein CDC20	HSL1	YKL101W	Probable serine/threonine-protein kinase HSL1	ku
CDC20	YGL116W	APC/C activator protein CDC20	HSL1	YKL101W	Probable serine/threonine-protein kinase HSL1	p
CDC20	YGL116W	APC/C activator protein CDC20	MEC1	YBR136W	Serine/threonine-protein kinase MEC1	ku
CDC20	YGL116W	APC/C activator protein CDC20	CDC27	YBL084C	Anaphase-promoting complex subunit CDC27	p
CDC20	YGL116W	APC/C activator protein CDC20	CDC23	YHR166C	Anaphase-promoting complex subunit CDC23	p
CDC20	YGL116W	APC/C activator protein CDC20	CDC16	YKL022C	Anaphase-promoting complex subunit CDC16	p
COQ8	YGL119W	Atypical kinase COQ8, mitochondrial {ECO:0000250|UniProtKB:Q8NI60} precursor	REB1	YBR049C	DNA-binding protein REB1	tu
PRP43	YGL120C	Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP43	BRR2	YER172C	Pre-mRNA-splicing helicase BRR2	p
PRP43	YGL120C	Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP43	PRP8	YHR165C	Pre-mRNA-splicing factor 8	p
PRP43	YGL120C	Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP43	SNU114	YKL173W	Pre-mRNA-splicing factor SNU114	p
PRP43	YGL120C	Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP43	REB1	YBR049C	DNA-binding protein REB1	tu
PRP43	YGL120C	Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP43	BMS1	YPL217C	Ribosome biogenesis protein BMS1	p
PRP43	YGL120C	Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP43	XRN1	YGL173C	5'-3' exoribonuclease 1	p
PRP43	YGL120C	Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP43	DBP2	YNL112W	ATP-dependent RNA helicase DBP2	p
